[INFO 5:22:44 PM] miguelsolorio.symbols activated
[INFO 5:22:44 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:44 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:44 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:44 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:22:46 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:46 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:46 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:46 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:22:46 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:46 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:46 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:46 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:22:46 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:46 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:46 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:46 PM] 🤖 symbols.files.associations changed, updating to undefined
